"19344","OC-CIE18","00000143","2018-04-05 00:00:00","6452.56","2018-04-03 00:00:00","N","2","18.57","1","-1",,"-1","18.57","N",
"19345","OC-CIE18","00000142","2018-04-05 00:00:00","232.37","2018-04-03 00:00:00","N","2","18.57","1","-1",,"-1","18.57","S",
"19346","OCCIEFLE18","00000001","2018-04-06 00:00:00","10000","2018-04-07 00:00:00","F","1","1","1","-1",,"-1","1","N",
"19347","OCCIEVIA18","00000001","2018-04-09 00:00:00","3900","2018-04-09 00:00:00","VIA","1","1","1","-1",,"-1","1","N",
"19348","OC-CIE18","00000201","2018-04-09 00:00:00","12000","2018-04-09 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19349","OC-CIE18","00000212","2018-04-18 00:00:00","84661.71","2018-04-18 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19350","OCCIEVIA18","00000002","2018-04-18 00:00:00","5000","2018-04-18 00:00:00","VIA","1","1","1","-1",,"-1","1","N",
"19351","OCCIEVIA18","00000003","2018-04-18 00:00:00","2000","2018-04-18 00:00:00","VIA","1","1","1","-1",,"-1","1","N",
"19352","OC-CIE18","00000209","2018-04-14 00:00:00","8000","2018-04-13 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19353","OC-CIE18","00000209","2018-04-14 00:00:00","7000","2018-04-13 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19354","OC-CIE18","00000209","2018-04-14 00:00:00","1031.2","2018-04-13 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19355","OC-CIE18","00000213","2018-04-19 00:00:00","4000","2018-04-18 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19356","OC-CIE18","00000200","2018-04-06 00:00:00","4000","2018-04-09 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19357","OCBADVIA18","00000001","2018-04-17 00:00:00","15000","2018-04-19 00:00:00","VIA","1","1","18","-1",,"-1","1","N",
"19358","OCBADVIA18","00000002","2018-04-19 00:00:00","0","2018-04-19 00:00:00","VIA","1","1","18","-1",,"-1","1","N",
"19359","OCBADVIA18","00000002","2018-04-17 00:00:00","100","2018-04-19 00:00:00","VIA","1","1","18","-1",,"-1","1","N",
"19360","OC-CIE18","00000208","2018-04-12 00:00:00","5000","2018-04-13 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19361","OC-CIE18","00000207","2018-04-10 00:00:00","18618","2018-04-12 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19362","OC-CIE18","00000206","2018-04-12 00:00:00","20532","2018-04-12 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19363","OC-CIE18","00000204","2018-04-11 00:00:00","19998","2018-04-11 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19364","OC-CIE18","00000205","2018-04-11 00:00:00","19998","2018-04-11 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19365","OC-CIE18","00000203","2018-04-11 00:00:00","1995.99","2018-04-10 00:00:00","N","2","18.0333","1","-1",,"-1","18.57","N",
"19366","OC-CIE18","00000188","2018-04-12 00:00:00","28654.65","2018-04-06 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19367","OC-CIE18","00000187","2018-04-09 00:00:00","26310.16","2018-04-06 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19368","OC-CIE18","00000186","2018-04-06 00:00:00","4868.84","2018-04-06 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19369","OC-CIE18","00000184","2018-04-06 00:00:00","1988.06","2018-04-05 00:00:00","N","2","0","1","-1",,"-1","18.57","N",
"19370","OC-CIE18","00000182","2018-04-16 00:00:00","5800","2018-04-04 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19371","OCBADVIA18","00000003","2018-04-19 00:00:00","700","2018-04-19 00:00:00","VIA","1","1","18","-1",,"-1","1","N",
"19372","OCCIEVIA18","00000007","2018-04-18 00:00:00","1500","2018-04-19 00:00:00","VIA","1","1","1","-1",,"-1","1","N",
"19373","OCCIEVIA18","00000005","2018-04-17 00:00:00","660","2018-04-19 00:00:00","VIA","1","1","1","-1",,"-1","1","N",
"19374","OCCIEVIA18","00000006","2018-04-17 00:00:00","1114","2018-04-19 00:00:00","VIA","1","1","1","-1",,"-1","1","N",
"19375","OCBADVIA18","00000004","2018-04-18 00:00:00","429","2018-04-19 00:00:00","VIA","1","1","18","-1",,"-1","1","N",
"19376","OC-CIE18","00000219","2018-04-19 00:00:00","997.25","2018-04-19 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19377","OC-CIE18","00000189","2018-04-19 00:00:00","30502.8","2018-04-06 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19378","OC-CIE18","00000192","2018-04-19 00:00:00","28071.35","2018-04-06 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19379","OC-CIE18","00000222","2018-04-23 00:00:00","8658.01","2018-04-20 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19380","OC-CIE18","00000218","2018-04-20 00:00:00","55035.85","2018-04-19 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19381","OC-CIE18","00000221","2018-04-20 00:00:00","12191.6","2018-04-20 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19382","OC-CIE18","00000221","2018-04-20 00:00:00","12191.6","2018-04-20 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19383","OC-CIE18","00000220","2018-04-20 00:00:00","11600","2018-04-19 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19384","OCCIEVIA18","00000009","2018-04-21 00:00:00","10000","2018-04-21 00:00:00","VIA","1","1","1","-1",,"-1","1","N",
"19385","OC-CIE18","00000009","2018-04-10 00:00:00","2000","2018-03-28 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19386","OCCIEVIA18","00000020","2018-04-09 00:00:00","1898.4","2018-04-26 00:00:00","VIA","1","1","1","-1",,"-1","1","N",
"19387","OCCIEVIA18","00000011","2018-04-09 00:00:00","1898.4","2018-04-26 00:00:00","VIA","1","1","1","-1",,"-1","1","N",
"19388","OCCIEOBR18","00000007","2018-04-09 00:00:00","6129.14","2018-04-26 00:00:00","OBR","1","1","1","-1",,"-1","1","N",
"19389","OC-CIE18","00000236","2018-04-09 00:00:00","3000","2018-04-26 00:00:00","N","1","1","1","-1",,"-1","1","N",
"19390","OCCIEVIA18","00000016","2018-04-09 00:00:00","1650","2018-04-26 00:00:00","VIA","1","1","1","-1",,"-1","1","N",
